               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.049856,            0.052691,            0.061522,             0.85944,              0.1345,             0.19959,             0.10998,            0.043375,            0.030316,            0.056244,            0.001783,            0.001783,            0.001783
                  85,            0.046044,            0.048408,            0.063577,             0.85958,             0.13426,             0.19866,             0.10901,            0.043398,            0.030362,            0.056086,            0.001684,            0.001684,            0.001684
                  86,            0.050555,            0.053671,            0.060791,             0.85924,             0.13533,             0.19803,             0.10533,            0.044106,            0.030445,            0.055922,            0.001585,            0.001585,            0.001585
                  87,            0.047495,            0.050592,            0.062492,             0.85531,             0.14138,             0.19983,             0.10951,            0.043248,            0.030312,            0.055866,            0.001486,            0.001486,            0.001486
                  88,            0.047967,            0.048746,            0.060791,              0.8535,             0.14256,              0.1966,              0.1016,            0.044132,            0.030266,              0.0557,            0.001387,            0.001387,            0.001387
                  89,            0.048649,             0.05126,            0.061327,             0.85609,             0.13709,             0.20055,             0.11156,            0.042886,            0.029955,            0.055593,            0.001288,            0.001288,            0.001288
                  90,            0.049088,            0.051676,            0.058289,             0.86065,             0.14382,             0.20126,             0.11192,            0.042668,            0.029834,            0.055445,            0.001189,            0.001189,            0.001189
                  91,            0.048535,            0.053594,            0.060152,             0.84406,             0.14444,             0.20142,             0.11508,            0.042341,            0.029706,            0.055357,             0.00109,             0.00109,             0.00109
                  92,            0.046816,            0.051935,            0.057522,             0.83751,              0.1498,             0.20893,             0.12062,            0.042391,            0.029634,            0.055231,            0.000991,            0.000991,            0.000991
                  93,            0.048241,             0.05629,            0.058158,             0.84033,             0.15239,             0.21212,             0.12267,            0.042174,            0.029504,            0.055197,            0.000892,            0.000892,            0.000892
                  94,            0.049466,            0.055133,            0.059706,             0.83999,             0.15135,             0.21447,             0.12425,            0.042112,            0.029476,            0.055166,            0.000793,            0.000793,            0.000793
                  95,            0.046385,            0.052259,            0.060403,             0.86386,             0.14674,             0.21193,             0.12092,            0.042037,            0.029474,            0.055155,            0.000694,            0.000694,            0.000694
                  96,            0.047523,            0.051387,            0.058826,             0.86929,             0.14825,             0.21522,             0.12421,            0.041956,            0.029395,            0.055096,            0.000595,            0.000595,            0.000595
                  97,            0.049158,            0.055846,             0.05927,             0.87122,             0.14621,              0.2151,             0.12278,            0.042022,            0.029338,            0.055079,            0.000496,            0.000496,            0.000496
                  98,            0.046616,            0.054119,            0.060207,             0.86789,             0.14444,             0.21207,             0.12153,            0.041796,            0.029276,            0.055071,            0.000397,            0.000397,            0.000397
                  99,            0.049388,            0.057818,            0.059183,             0.87554,              0.1373,             0.21853,             0.12534,             0.04173,            0.029263,            0.055038,            0.000298,            0.000298,            0.000298
